Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Labels,Sprint
Story,S2-02 Seat-lock and allotment invariant tests,"Interlocking rules needing protection: children contribute 0 to the pool (bkV2LockPoolHold:41783); month locks use rolling per-trip release not a global expiry (:41696); lockDraws is truth not used; over-capacity pendings hold no seats (bkPendHoldsSeat:12040); charter never consumes seats. Cover the hard-block vs soft-confirm split at :76672 and the cancelled-status exclusion across all six aggregate sites. Source: docs/workflows/01 sections 7.2-7.7 and 7.12.",,E3 Regression Safety Net,8,High,test,Sprint 2
Story,S2-03 Single source of truth for cancelled statuses,"The triple ['cancelled','cancelled_weather','rejected'] is duplicated as a literal roughly ten times, and ACCT_PAID_STATES is the same list under a misleading name. One exported constant, rename to ACCT_EXCLUDED_STATES, plus a lint rule or test failing on a new inline literal. Source: docs/workflows/03 section 9.15 and 06 section 10.2.",,E4 Persistence Hardening,3,High,refactor,Sprint 2
Story,S2-04 Make the four-registration trap loud,"A new persisted field needs the persist helper, both client load paths, field_mapping.json and operation_schemas_model.json, plus a real column. Miss any one and the data silently disappears. Build a drift check that fails CI when a model field has no mapping entry or a mapping entry has no column - restoring the capability of the deleted check_mapping_drift.js - plus an npm script scaffolding all registrations, and commit the ops.pierNote worked example into the repo. Source: docs/workflows/07 sections 4 and 10.5.",,E4 Persistence Hardening,8,High,architecture,Sprint 2
Story,S2-05 Fix or document the three revert-to-seed stores,"pier_lic_types, pier_lic_classes and pier_codes load with Array.isArray(x) && x.length, so clearing the list reverts it to seed - breaking the deliberate rule that an empty array stays empty. Determine whether it is intentional, then either drop the .length guard or comment it as deliberate at all three sites. Source: docs/workflows/07 section 10.6.",,E4 Persistence Hardening,3,Medium,data-integrity,Sprint 2
Story,S2-06 trips hardcoded per-boat columns,"trips maps to b1_route, b1_type, b1_booked, b1_charterbookingid and so on per boat. b8/b14/b15 were missing from the start and their assignments vanished on sync (server.js:1637-1644). Spike first (normalize to a child table vs generate columns from BOATS); whichever wins, adding a boat must require zero schema edits and the migration must preserve existing bN_* data. Source: docs/workflows/07 section 10.12.",,E4 Persistence Hardening,8,High,architecture,Sprint 2
Story,S2-07 Disambiguate the two save() functions,"Two unrelated save() functions exist and the wrong one is easy to call. flSave() also persists BOATS because fleet mutates b.log constantly and the sales-side save() is never called from there. Rename to intent-revealing names, document why flSave() owns BOATS, and test that a boat status change made from the fleet UI survives a reload. Source: docs/workflows/07 section 1.3 and 05 section 10.1.",,E4 Persistence Hardening,4,Medium,refactor,Sprint 2
Story,S3-01 Remove demo seeders from the boot path,"_seedContractExpiryVariety():39725 force-sets contractEnd on agents a01/a10/a30 to today+25 days and expires a40 on every boot, relative to a hard-coded 2026-09-02, against whatever data is loaded. SB_AGENT_PRICES is regenerated from _seedAgentPrices():39914 every boot and never persisted, so the renewal snapshot at :65332 records synthetic prices. IMPORTANT ordering: audit whether production contract dates are already corrupted BEFORE shipping the fix, since the fix removes the evidence. Source: docs/workflows/02 sections 9.22-9.23.",,E6 Purge Seed Mutations from Production,5,Highest,data-integrity,Sprint 3
Story,S3-02 Order-driven cost lines,"Documented incident at :56152-56153: a 35-pax boat with 2 real longtail-join customers was costed at the per-head formula rate times all 35 heads - 17x over. ctOdQty/pxLongtail exist to feed real ordered quantity into ctCalc for od:true lines. Audit every cost line for a missing od:true, add a test reproducing the 35-pax/2-order case asserting 2x not 35x, and make od the default for anything longtail/charter/van shaped. Source: docs/workflows/06 section 10.12.",,E5 Money Correctness,8,Highest,money,Sprint 3
Story,S3-03 Trip P&L trustworthiness signals,"A trip with no Costing plan still computes zero cost rather than refusing; nNoPlan is the only signal the profit figure is meaningless. Trip P&L revenue is also independent of invoicing - tsTripAmount reads the frozen booking price and never consults SB_INVOICES/SB_PAYMENTS - so P&L and the Accounting Outstanding KPI answer different questions and will never reconcile. Mark day totals containing an unplanned boat; state on both screens what they measure. Source: docs/workflows/06 sections 10.8 and 10.10.",,E5 Money Correctness,5,High,money,Sprint 3
Story,S3-04 Invoice lifecycle gaps,"Three holes. inv.whtAmount is read by acctInvoiceDocHtml:59202 but nothing anywhere writes it, so every printed invoice shows a zero withholding-tax line regardless of reality - a compliance question for finance, not a display bug. acctVoidInvoice sets status='void' but leaves SB_PAYMENTS rows in place so voiding does not reverse the cash. acctRecordPayment does not cap payment at the invoice balance and the excess becomes agent credit nowhere. Source: docs/workflows/06 sections 10.3, 10.5 and 10.6.",,E5 Money Correctness,8,High,money,Sprint 3
Story,S3-05 Pricing layer inconsistencies,"Add-ons are priced from the base rate (bkV2AddOnInfo:77190 calls bkV2GetRT()) while seats and FOC use bkV2GetRTForTrip(), so a promo changing longtail prices silently does not apply - latent, harmless only because no promos exist yet. Rate validity dates never gate a price: an expired rate still prices a booking and only active===false removes it from pickers. A paid bundle suppresses longtail-join for the whole booking rather than per trip. Fix the promo/base mismatch before any promo ships. Source: docs/workflows/02 sections 9.2, 9.3 and 9.8.",,E5 Money Correctness,8,High,money,Sprint 3
Story,S3-06 Timezone sweep,"bkV2LocalYMD is the rule but several paths still use toISOString().slice(0,10) and land on the previous day before 07:00 ICT: bkV2CommitBooking createdAt/bookingDate at :76704 and :76844, drDateShift:52758, psuResolveProfile:40327 and psuOpenCloneProfile:40763. Replace all occurrences, add a lint rule banning the pattern, and add a test executing at 00:30 ICT. Source: docs/workflows/01 section 7.8, 03 section 9.13, 04 section 9.",,E7 Runtime Errors and Timezone,3,Medium,bug,Sprint 3
Story,S3-07 Missing status labels,"bkV2StatusLabel:69213 has no entry for pending_approval or cancelled_weather; both render as the raw status string in the UI. Source: docs/workflows/01 section 7.",,E7 Runtime Errors and Timezone,3,Medium,bug,Sprint 3
Story,B-01 bkV2InferZone reads a v1-only field,"bkV2InferZone:69054 reads bk.pickup, a v1 field the v2 form never writes, so calendar zone splits are effectively all PK for v2 bookings. Source: docs/workflows/01 section 7.",,E7 Runtime Errors and Timezone,3,High,bug,
Story,B-02 ckWrite drops fields outside CK_STAGE_KEYS,"ckWrite rebuilds the whole check-in object; anything not listed in CK_STAGE_KEYS:47238 is lost on the next plus/minus press. That is why arrivedAt, clearedAt and reinstate are listed there. Source: docs/workflows/03 section 9.6.",,E2 Stop Data Loss,5,High,data-loss,
Story,B-03 pjOf field whitelist silently drops new fields,"pjOf has a field whitelist at :82102-82104. A new per-day job-sheet field not added there is silently dropped on the next pjSet. Source: docs/workflows/03 section 9.7.",,E2 Stop Data Loss,3,High,data-loss,
Story,B-04 Audit direct bk.ops reads,"bk.ops is day 1 only; reads must go through bkOpsRead/bkOpsFor with an explicit date. Any dispatch screen reading bk.ops directly is wrong for overnight and multi-programme bookings, and every OVN bug in these domains traces back to a direct access. Source: docs/workflows/03 section 9.1 and 04 section 9.",,E12 Multi-day and OVN Correctness,8,High,correctness,
Story,B-05 Deposit application has no locking,"acctApplyDeposit recomputes remaining fresh each call by summing existing payment rows, so two concurrent applications against the same deposit can both read stale remaining and jointly over-draw it. Source: docs/workflows/06 section 10.7.",,E5 Money Correctness,5,High,money,
Story,B-06 A booking can be invoiced before it is confirmed,"acctNewInvoiceRender's un-invoiced-bookings filter only excludes the three cancelled-family statuses, so a quote or pending_approval booking can be picked into an invoice. Source: docs/workflows/06 section 10.14.",,E5 Money Correctness,3,Medium,money,
Story,B-07 flProjMarkComplete bypasses flMaintClose,"flProjMarkComplete bypasses flMaintClose for its children: no outcome, no asset status restore, no repairHistory, no incident auto-close. Source: docs/workflows/05 section 10.17.",,E13 Fleet Data Integrity,5,Medium,data-integrity,
Story,B-08 flUpdateAssignEngInfo uses the wrong service formula,"flUpdateAssignEngInfo:36278 still uses the old modulo for the service countdown instead of measuring against lastServiceHours. Source: docs/workflows/05 section 10.9.",,E13 Fleet Data Integrity,2,Medium,bug,
Story,B-09 rtSaveDraft leaves orphaned route references,"rtSaveDraft prunes orphaned seatRates and charterRates but not routeValidity, routeBundles or addOns.*.applies, which keep pointing at removed routes. Source: docs/workflows/02 section 9.15.",,E5 Money Correctness,3,Medium,data-integrity,
Story,B-10 rtDeleteRT leaves agents with no price,"rtDeleteRT detaches every bound agent by deleting a.rateTypeId; the agents survive with no price. Source: docs/workflows/02 section 9.17.",,E5 Money Correctness,3,Medium,data-integrity,
Story,B-11 Rate-type price edits are not versioned,"Rate-type price edits have no version history at all. agLog caps activity[] at 200 and is the only audit trail; the documented workaround is Clone rather than in-place edit. Source: docs/workflows/02 section 9.19.",,E5 Money Correctness,8,Medium,audit,
Story,B-12 Nothing blocks an under-licensed crew,"plBoatBad:81899 is advisory only - no hard block exists on sailing with an under-licensed crew. Source: docs/workflows/03 section 9.17.",,E12 Multi-day and OVN Correctness,3,High,compliance,
Story,B-13 Re-confirm has no permission guard,"Re-confirm has no permission guard on its writers; it relies on acctPersistBookings refusing. If a stricter persist path is added, the guard must be added too. Source: docs/workflows/03 section 9.19.",,E8 Permission Model Coherence,2,Medium,security,
Story,B-14 devlogIsAdmin returns true with no session,"devlogIsAdmin() returns true when there is no LA_ME at all, so the degraded localhost-without-/api path gets full System Log access with no login. Harmless for a dev dataset; matters if that path is ever pointed at real data. Source: docs/workflows/08 section 11.",,E8 Permission Model Coherence,2,Medium,security,
Story,B-15 Modularize allotment_v2.html,"83629 lines in one file with one global scope. Spike the split first - domain boundaries are already mapped by docs/workflows 01-08. Source: docs/workflows/08 section 1.",,E11 Modularize allotment_v2.html,21,Medium,architecture,
Story,B-16 _baChMemo lifetime blocks async rendering,"_baChMemo lives exactly one microtask (:45332) and is safe only because rendering is synchronous. Any move to async rendering must revisit it. Source: docs/workflows/03 section 9.4.",,E11 Modularize allotment_v2.html,5,Medium,architecture,
Story,B-17 admin_devlog is double-encoded JSON,"devlogLoad/devlogSave JSON.parse and JSON.stringify a second time on top of the blob's own serialization, making admin_devlog a double-encoded string rather than a real collection. A new persisted dev-tool field should not copy this shape. Source: docs/workflows/08 section 11.",,E4 Persistence Hardening,2,Low,refactor,
Story,B-18 _bindVal coercion is silent,"_bindVal (server.js:114) coerces bad scalars rather than letting them wedge a batch - empty string into a bigint becomes NULL, 3.6 into a bigint rounds. The behaviour is deliberate but silent; surface these instead of swallowing them. Source: docs/workflows/07 section 10.13.",,E10 Observability and Drift Detection,3,Medium,observability,
Story,B-19 fast_import does not bump app_state.version,"fast_import does not bump app_state.version, so open clients never notice an import and need a hard refresh. Source: docs/workflows/07 section 10.15.",,E10 Observability and Drift Detection,2,Low,observability,
Story,B-20 DATA_VERSION is written but never checked,"DATA_VERSION is written at :5790 but never read. Re-arming it is a migration, not a version bump. Source: docs/workflows/07 section 10.8.",,E4 Persistence Hardening,2,Low,cleanup,
Story,B-21 Three incompatible location vocabularies,"SPARE_LOC_LABELS/FL_STASH_LOCS keys for parts, WAREHOUSE_LOCATIONS plain Thai strings for inventory, and free-text ENG_LOCS for engines do not interoperate. Source: docs/workflows/05 section 10.15.",,E13 Fleet Data Integrity,8,Medium,data-integrity,
Story,B-22 Two coexisting boat-status fields,"m.boatStatus (new) and m.setFixing (legacy boolean) coexist and must always be read together as m.boatStatus || (m.setFixing===false ? 'available' : 'fixing'). Source: docs/workflows/05 section 10.4.",,E13 Fleet Data Integrity,5,Medium,refactor,
Story,B-23 No one-click re-install of a stashed part,"There is no one-click path to put a stashed gearbox or propeller back onto an engine; the workaround is the edit form. Source: docs/workflows/05 section 10.24.",,E13 Fleet Data Integrity,5,Low,feature,
Story,B-24 Job orders depend on CDN availability,"PNG export lazy-loads html2canvas from a CDN (_vjEnsureH2C:55149) and the pickup map lazy-loads Leaflet plus Carto tiles. Offline at the pier means no job order. Source: docs/workflows/04 section 9.",,E14 Performance and Load Path,5,Medium,resilience,
Story,B-25 Doc-Check OCR constraints,"OCR needs the internet, reads English only, never reads MRZ, and fuzzy-matches six fields. Auto-ticks are a hint only. Source: docs/workflows/03 section 9.18.",,E14 Performance and Load Path,5,Low,resilience,
Story,B-26 /api/load ships the whole blob,"/api/load ships the entire blob and its cache invalidates on every write, which is why it uses brotli q5 rather than q11. Do not raise the compression level as an optimisation. Source: docs/workflows/07 section 10.16.",,E14 Performance and Load Path,13,Low,performance,
Story,B-27 Reconcile remaining documentation drift,"Twelve documented drift items remain in docs/workflows/07 section 10, spanning README.md, SYSTEM_MAP.md, CLAUDE.md, .railwayignore, tools/apply-migration.js and HANDOFF_2026-07-04.md.",,E9 Documentation Truth,5,Medium,docs,
Story,B-28 CLAUDE.md lists ranong as planned,"CLAUDE.md:51 lists pier ranong as Planned, but the code has full first-class support - 98 references and a complete Pier-Office view family. Source: docs/workflows/08 section 11.",,E9 Documentation Truth,1,Low,docs,
Story,B-29 Stale booking comments and spec,"The _bkV2 state comment at :68863 says 3 tabs when there are 6, and docs/BOOKING.md is a stale Phase-1 spec with line numbers roughly 35k off. docs/booking.model.ts is accurate. Source: docs/workflows/01 section 7.13.",,E9 Documentation Truth,1,Low,docs,
Story,B-30 Table count mismatch in HANDOFF,"HANDOFF_2026-07-04.md says 107 tables; the data dictionary and operation_schemas_structure.sql both say 103. Source: docs/workflows/07 section 10 drift table.",,E9 Documentation Truth,1,Low,docs,
Story,B-31 Normalize NoTransfer vs NT,"Both spellings of the no-transfer zone are live across the codebase and every test must cover both. Source: docs/workflows/04 section 9.",,E4 Persistence Hardening,3,Medium,cleanup,
Story,B-32 Decorative fake QR on invoices,"_acctFauxQR:59187 renders deterministic pixels seeded from the invoice number - a purely visual fake QR, not a real PromptPay code. Remove it or make it real. Source: docs/workflows/06 section 10.4.",,E5 Money Correctness,2,Medium,money,
Story,B-33 Standardize the local esc convention,"esc/escapeHTML is not global; every renderer declares its own. Most fleet renderers inline template values unescaped. A new top-level renderer without a local esc throws silently on click. Source: docs/workflows/05 section 10.22 and 08 section 5.1.",,E7 Runtime Errors and Timezone,5,Medium,security,
Story,B-34 Document per-device sidebar prefs,"Sidebar and layout prefs (la_sbcolor_*, la_sbacc_*, la_pogrp, sb_collapsed) are per-device by design and never sync. Document this so it is not 'fixed' into a bug. Source: docs/workflows/08 section 11.",,E9 Documentation Truth,1,Low,docs,
