Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Labels,Sprint
"Story","RT-01 Rate types read-only API (pulled forward)","Minimum slice of the sales domain needed to unblock booking pricing. Tables for rate_type, seat rates (route x zone x pax type), route validity, route bundles, charter rates, add-ons. Normalize the per-route longtail shape at migration time so the old flat shape never reaches the new schema. GET /v1/rate-types and /:id.","","R1 Booking Data & API","5","High","sales,api,dependency","Sprint 3"
"Story","BK-01 Relational model for the booking aggregate","Source of truth: docs/booking.model.ts and workflows/01 section 4. NOT docs/BOOKING.md (stale). Tables: booking, booking_trip, booking_trip_pax (replaces the 12-key pax object), booking_passenger, booking_addon, booking_adjustment, booking_fee_item, booking_price_breakdown, booking_ops keyed by service_date (replaces the day-1 bk.ops / day-2+ trip.ops split), booking_history, cancellation, partial_cancel, reschedule, approval, foc_approval, weather_resolve, alt_pickup, attachment. FKs to agent, rate_type, route, boat, vehicle, pickup_area. Deliver ERD + migration + MAPPING.md covering 100% of fields.","","R1 Booking Data & API","8","Highest","booking,schema","Sprint 3"
"Story","BK-02 Seat lock model with derived usage","seat_lock (with parent_id self-FK), seat_lock_usage keyed (lock_id, trip_date), booking_trip_lock_draw as the SINGLE source of truth. The used counter becomes a derived VIEW, not a stored column - this deletes bkV2LockAudit, LockCoverage, LockFixUsed and LockFixTree. Do not port them. Child locks contribute 0 to the pool. Month/bulk locks use rolling per-trip release, never a global expiry.","","R1 Booking Data & API","5","Highest","booking,locks,schema","Sprint 4"
"Story","BK-03 Availability as a view plus service","Port getAllotment: available_capacity - seats_consumed - locked_seats. Exclude cancelled/cancelled_weather/rejected everywhere; exclude charter trips from seat consumption; subtract check-in losses; honour bkPendHoldsSeat (over-capacity pendings hold NO seats, every other pending reason does). Hazard: a v_seat_availability view exists in prod and has drifted both ways - build from pg_get_viewdef then supersede with a new named view. Parity: byte-identical numbers to the monolith for every fixture (route,date).","","R1 Booking Data & API","5","Highest","booking,availability","Sprint 4"
"Story","BK-04 Data migration: existing store to new booking schema","Backfill BK-01/BK-02 tables from production. schemaVer 2 migrates fully; legacy v1 migrates with a legacy flag and stays read-only. Normalize the dual pax shape. Collapse bk.ops + trip.ops into booking_ops by service date. Empty arrays become zero child rows. Emit MIGRATION_REPORT.md: row counts in=out, SUM(total) to the satang, counts by status, and every failed booking with a reason. Failing loudly beats silently dropping. Idempotent, rehearsed on a prod clone.","","R1 Booking Data & API","8","Highest","booking,data,migration","Sprint 4"
"Story","BK-05 Booking read API","GET /v1/bookings (date range, route, agent, status, channel; paginated), /v1/bookings/:id, /v1/manifest?date=&routeId= returning everything the by-trip-date ops view renders in ONE round trip, /v1/availability, /v1/seat-locks. Agent row-scoping from P0-04. Assert no N+1 on the busiest fixture date.","","R1 Booking Data & API","5","High","booking,api","Sprint 5"
"Story","BK-06 Port the guard gauntlet server-side","THE task that makes a multi-consumer API safe. Every guard from bkV2CommitBooking becomes API-side validation in one transaction: required fields, B2C exemptions (guide-language and route-closed degrade to soft incomplete flags), contract programme whitelist, duplicate detection, and the anti-overbook tiering - lockViolation HARD BLOCK with no override, licenseBlock HARD BLOCK, over-cap-within-licence to pending_approval, discount>0 on a confirmed save to pending_approval. On edit only a genuine increase is guarded and the booking excludes its own seats. Concurrency: SELECT FOR UPDATE or serializable with retry; N parallel creates against N-1 free seats must yield exactly N-1 successes, run 100x. No guard may live only in the frontend.","","R1 Booking Data & API","13","Highest","booking,api,correctness,risk","Sprint 5"
"Story","BK-07 Booking write API","POST /v1/bookings, PATCH /:id (named fields only), and cancel, restore, partial-cancel, reschedule, approve, reject, foc-approve, foc-reject. Every mutation writes booking_history in the same transaction. Optimistic concurrency via a row version column replacing the global app_state.version. THE point of the rewrite: PATCH of one field must not touch ops, upgrades, fee_items, reschedule, partial_cancels, cancellation, history, invoice_id or payment_status - write the test. Cancel returns lock draws and voids the invoice in the same transaction; a failed void ROLLS BACK the cancellation (today it only console.warns).","","R1 Booking Data & API","8","Highest","booking,api","Sprint 6"
"Story","BK-08 Lock draw and return as transactional operations","Draw on create; return-then-redraw on edit; return on cancel; redraw on restore with an explicit shortfall report. Holder priority agent then office then global when no explicit pick. The ""edit ten times, counted as used ten times"" regression must be structurally impossible. Property test over random operation sequences.","","R1 Booking Data & API","5","High","booking,locks","Sprint 6"
"Story","BK-09 Pricing service","packages/pricing as pure functions with no DB access. Port bkV2TripSubtotal (seat fr/th + bundle, or charter starter + extra-per-pax), bkV2AddOnInfo, bkV2CalcQuote, promo overlay resolution, FOC discount as forgone revenue stored negative, OVN return legs at 0 with the charge on the outbound. The write path freezes the result into booking_price_breakdown. Every fixture must match to the satang; investigate mismatches rather than tolerating them.","","R1 Booking Data & API","8","High","booking,pricing","Sprint 5"
"Story","BK-10 Fix the documented bugs - do not port them","Six known defects that must not be reproduced, each with a test named after the finding: (1) weather reschedule must clear ops boat/van/check-in; (2) partial cancel must return lock draws and adjust the invoice; (3) no toISOString().slice(0,10) - store DATE and resolve today in Asia/Bangkok; (4) status labels for pending_approval and cancelled_weather; (5) calendar zone from the trip, not the dead v1 bk.pickup field; (6) voiding an invoice must reverse its payment rows.","","R1 Booking Data & API","5","High","booking,correctness","Sprint 6"
"Story","BK-11 React booking read screens","Calendar month grid, routes-x-days matrix, by-trip-date manifest, all-bookings table, booking detail. TanStack Query against BK-05. No global mutable store, no innerHTML. Carry over the UI lessons: sticky-header offsets computed not hardcoded, no full-subtree re-render while an input has focus, keep backdrop-filter off cards containing dropdowns.","","R2 Booking Frontend","8","High","booking,frontend","Sprint 7"
"Story","BK-12 React booking form (create and edit)","Per-field PATCH. Validation is SERVER-DRIVEN: BK-06 returns structured errors and the form renders them. Do not duplicate a single guard rule in the client - client checks are affordance only (disabled buttons, hints) and never enforcement. Removing a client hint must not change what the API accepts. Editing a booking with boat+van assigned must leave the assignment intact.","","R2 Booking Frontend","8","Highest","booking,frontend","Sprint 7"
"Story","BK-13 React action modals","Cancel (reason catalogue + charge mode), restore, partial cancel (per-pax-type reduce with charged/waived split), reschedule (fee mode + collection), approve/reject with the seats-after-approval impact preview, FOC approve/reject. Each maps 1:1 to a BK-07 endpoint.","","R2 Booking Frontend","5","High","booking,frontend","Sprint 8"
"Story","BK-14 React seat locks screen","List, create day/bulk/month, sub-group create, release, add seats, per-agent KPI, and the draw-source picker used inside the booking form. No stale used count is possible because there is no stored counter.","","R2 Booking Frontend","5","High","booking,frontend,locks","Sprint 8"
"Story","BK-15 Strangler bridge for booking","The riskiest integration. Fleet, boat ops and vans stay in the monolith and read bk.ops. Per the P0-07 ADR: disable the monolith booking view and link out; implement the read-through adapter so boat assignment, van assignment, van groups, pickup times and check-in keep working against API-owned bookings; route the monolith writes through PATCH /v1/bookings/:id/ops. Acceptance: a full operational day works end to end in the monolith - assign boat, assign van, van group, job order, pier check-in - rehearsed on a prod clone.","","R3 Strangle & Cutover","8","Highest","booking,cutover,risk","Sprint 9"
"Story","BK-16 Cutover and rollback runbook","Freeze window, final BK-04 migration run, reconciliation (counts + money), route switch, smoke tests, and rollback to the monolith inside 15 minutes including how to replay writes taken by the new system. Full timed dry run on a prod clone; rollback rehearsed at least once.","","R3 Strangle & Cutover","5","Highest","cutover","Sprint 9"
